N,Best Case,Worst Case, Average Case
247,1,19,13.234817813765183
248,1,19,13.25
249,1,19,13.257028112449799
250,1,19,13.272
251,1,19,13.286852589641434
252,1,19,13.293650793650794
253,1,19,13.300395256916996
254,1,19,13.307086614173228
255,1,19,13.313725490196079
256,1,19,13.328125
257,1,19,13.334630350194553
258,1,19,13.348837209302326
259,1,19,13.355212355212355
260,1,19,13.361538461538462
261,1,19,13.375478927203066
262,1,19,13.389312977099237
263,1,19,13.403041825095057
264,1,19,13.416666666666666
265,1,19,13.422641509433962
266,1,19,13.436090225563909
267,1,19,13.44943820224719
268,1,19,13.455223880597014
269,1,19,13.46096654275093
270,1,19,13.474074074074075
271,1,19,13.47970479704797
272,1,19,13.485294117647058
273,1,19,13.498168498168498
274,1,19,13.510948905109489
275,1,19,13.523636363636363
276,1,19,13.53623188405797
277,1,19,13.548736462093864
278,1,19,13.553956834532373
279,1,19,13.5663082437276
280,1,19,13.57857142857143
281,1,19,13.583629893238435
282,1,19,13.595744680851064
283,1,19,13.607773851590107
284,1,19,13.626760563380282
285,1,19,13.63859649122807
286,1,19,13.65034965034965
287,1,19,13.662020905923345
288,1,19,13.67361111111111
289,1,19,13.69204152249135
290,1,19,13.703448275862069
291,1,19,13.714776632302405
292,1,19,13.726027397260275
293,1,19,13.737201365187714
294,1,19,13.755102040816327
295,1,19,13.766101694915255
296,1,19,13.777027027027026
297,1,19,13.787878787878787
298,1,19,13.798657718120806
299,1,19,13.809364548494983
300,1,19,13.82
301,1,19,13.830564784053156
302,1,19,13.841059602649006
303,1,19,13.851485148514852
304,1,19,13.868421052631579
305,1,19,13.878688524590164
306,1,19,13.88888888888889
307,1,19,13.899022801302932
308,1,19,13.909090909090908
309,1,19,13.919093851132686
310,1,19,13.929032258064517
311,1,19,13.938906752411576
312,1,19,13.942307692307692
313,1,19,13.958466453674122
314,1,19,13.968152866242038
315,1,19,13.984126984126984
316,1,19,14.0
317,1,19,14.009463722397477
318,1,19,14.018867924528301
319,1,19,14.0282131661442
320,1,19,14.0375
321,1,19,14.040498442367602
322,1,19,14.055900621118013
323,1,19,14.06501547987616
324,1,19,14.074074074074074
325,1,19,14.083076923076923
326,1,19,14.0920245398773
327,1,19,14.100917431192661
328,1,19,14.109756097560975
329,1,19,14.118541033434651
330,1,19,14.133333333333333
331,1,19,14.13595166163142
332,1,19,14.150602409638553
333,1,19,14.153153153153154
334,1,19,14.167664670658683
335,1,19,14.170149253731344
336,1,19,14.178571428571429
337,1,19,14.186943620178042
338,1,19,14.201183431952662
339,1,19,14.20353982300885
340,1,19,14.205882352941176
341,1,19,14.214076246334312
342,1,19,14.216374269005849
343,1,19,14.224489795918368
344,1,19,14.232558139534884
345,1,19,14.246376811594203
346,1,19,14.254335260115607
347,1,19,14.262247838616714
348,1,19,14.264367816091953
349,1,19,14.272206303724928
350,1,19,14.28
351,1,19,14.282051282051283
352,1,19,14.289772727272727
353,1,19,14.303116147308781
354,1,19,14.310734463276836
355,1,19,14.31830985915493
356,1,19,14.325842696629213
357,1,19,14.333333333333334
358,1,19,14.340782122905027
359,1,19,14.342618384401113
360,1,19,14.35
361,1,19,14.362880886426593
362,1,19,14.3646408839779
363,1,19,14.377410468319558
364,1,19,14.384615384615385
365,1,19,14.391780821917807
366,1,19,14.398907103825136
367,1,19,14.411444141689373
368,1,19,14.418478260869565
369,1,19,14.425474254742548
370,1,19,14.432432432432432
371,1,19,14.444743935309972
372,1,19,14.456989247311828
373,1,19,14.463806970509383
374,1,19,14.470588235294118
375,1,19,14.477333333333334
376,1,19,14.47872340425532
377,1,19,14.485411140583555
378,1,19,14.492063492063492
379,1,19,14.493403693931398
380,1,19,14.48421052631579
381,1,19,14.496062992125983
382,1,19,14.502617801047121
383,1,19,14.514360313315926
384,1,19,14.520833333333334
385,1,19,14.527272727272727
386,1,19,14.538860103626943
387,1,19,14.545219638242894
388,1,19,14.551546391752577
389,1,19,14.557840616966581
390,1,19,14.569230769230769
391,1,19,14.580562659846548
392,1,19,14.58673469387755
393,1,19,14.592875318066158
394,1,19,14.598984771573605
395,1,19,14.61012658227848
396,1,19,14.616161616161616
397,1,19,14.6272040302267
398,1,19,14.638190954773869
399,1,19,14.644110275689224
400,1,19,14.655
401,1,19,14.660847880299253
402,1,19,14.671641791044776
403,1,19,14.67741935483871
404,1,19,14.683168316831683
405,1,19,14.688888888888888
406,1,19,14.694581280788178
407,1,19,14.705159705159705
408,1,19,14.715686274509803
409,1,19,14.726161369193154
410,1,19,14.726829268292683
411,1,19,14.732360097323602
412,1,19,14.737864077669903
413,1,19,14.743341404358354
414,1,19,14.753623188405797
415,1,19,14.763855421686747
416,1,19,14.76923076923077
417,1,19,14.774580335731414
418,1,19,14.779904306220097
419,1,19,14.785202863961814
420,1,19,14.795238095238096
421,1,19,14.814726840855107
422,1,19,14.819905213270141
423,1,19,14.829787234042554
424,1,19,14.839622641509434
425,1,19,14.84470588235294
