N,Best Case,Worst Case, Average Case
245,1,20,14.46938775510204
246,1,20,14.491869918699187
247,1,20,14.502024291497976
248,1,20,14.512096774193548
249,1,20,14.522088353413654
250,1,20,14.532
251,1,20,14.541832669322709
252,1,20,14.543650793650794
253,1,20,14.565217391304348
254,1,20,14.578740157480315
255,1,20,14.592156862745098
256,1,20,14.6015625
257,1,20,14.61089494163424
258,1,20,14.62015503875969
259,1,20,14.621621621621621
260,1,20,14.623076923076923
261,1,20,14.632183908045977
262,1,20,14.65267175572519
263,1,20,14.661596958174904
264,1,20,14.670454545454545
265,1,20,14.683018867924527
266,1,20,14.691729323308271
267,1,20,14.700374531835205
268,1,20,14.712686567164178
269,1,20,14.728624535315985
270,1,20,14.744444444444444
271,1,20,14.745387453874539
272,1,20,14.757352941176471
273,1,20,14.765567765567766
274,1,20,14.773722627737227
275,1,20,14.781818181818181
276,1,20,14.80072463768116
277,1,20,14.808664259927799
278,1,20,14.816546762589928
279,1,20,14.824372759856631
280,1,20,14.832142857142857
281,1,20,14.832740213523131
282,1,20,14.847517730496454
283,1,20,14.855123674911662
284,1,20,14.869718309859154
285,1,20,14.87719298245614
286,1,20,14.884615384615385
287,1,20,14.89198606271777
288,1,20,14.899305555555555
289,1,20,14.913494809688581
290,1,20,14.920689655172414
291,1,20,14.927835051546392
292,1,20,14.934931506849315
293,1,20,14.941979522184301
294,1,20,14.95578231292517
295,1,20,14.96271186440678
296,1,20,14.969594594594595
297,1,20,14.976430976430976
298,1,20,14.993288590604028
299,1,20,15.0
300,1,20,15.006666666666666
301,1,20,15.013289036544851
302,1,20,15.019867549668874
303,1,20,15.036303630363037
304,1,20,15.049342105263158
305,1,20,15.055737704918032
306,1,20,15.071895424836601
307,1,20,15.084690553745927
308,1,20,15.097402597402597
309,1,20,15.103559870550162
310,1,20,15.116129032258064
311,1,20,15.131832797427652
312,1,20,15.137820512820513
313,1,20,15.150159744408946
314,1,20,15.156050955414013
315,1,20,15.168253968253968
316,1,22,15.189873417721518
317,1,22,15.195583596214512
318,1,22,15.20125786163522
319,1,22,15.216300940438872
320,1,22,15.228125
321,1,22,15.236760124610592
322,1,22,15.248447204968944
323,1,22,15.253869969040247
324,1,22,15.25925925925926
325,1,22,15.273846153846154
326,1,22,15.279141104294478
327,1,22,15.290519877675841
328,1,22,15.301829268292684
329,1,22,15.316109422492401
330,1,22,15.327272727272728
331,1,22,15.326283987915408
332,1,22,15.337349397590362
333,1,22,15.345345345345345
334,1,22,15.362275449101796
335,1,22,15.370149253731343
336,1,22,15.383928571428571
337,1,22,15.388724035608309
338,1,22,15.408284023668639
339,1,22,15.415929203539823
340,1,22,15.41470588235294
341,1,22,15.419354838709678
342,1,22,15.423976608187134
343,1,22,15.428571428571429
344,1,22,15.43313953488372
345,1,22,15.44927536231884
346,1,22,15.453757225433526
347,1,22,15.45821325648415
348,1,22,15.456896551724139
349,1,22,15.461318051575931
350,1,22,15.465714285714286
351,1,22,15.478632478632479
352,1,22,15.482954545454545
353,1,22,15.498583569405099
354,1,22,15.508474576271187
355,1,22,15.512676056338028
356,1,22,15.51685393258427
